"";"year";"country.code";"income.group";"che_gdp";"gghed_che";"gghed_gdp";"tran_shi";"pvtd_che";"oops_che";"cfa_che";"gfa_che";"chi_che";"phc_che";"gghed_phc_gghed";"gghed_phc_phc";"gghe_gdp";"gghe_gge";"SH.MED.BEDS.ZS";"SH.MED.CMHW.P3";"SH.XPD.CHEX.GD.ZS";"SH.XPD.CHEX.PC.CD";"SH.XPD.GHED.CH.ZS";"SH.XPD.GHED.GD.ZS";"SH.XPD.GHED.GE.ZS";"SH.XPD.PVTD.CH.ZS";"SH.MED.NUMW.P3";"SH.XPD.EHEX.CH.ZS";"SH.MED.PHYS.ZS";"SH.XPD.OOPC.CH.ZS";"SH.UHC.OOPC.10.ZS";"SH.UHC.OOPC.25.ZS";"SH.SGR.CRSK.ZS";"SH.SGR.IRSK.ZS";"country";"coverage";"Aporte fiscal";"Seguridad social";"Seguros privados";"Gasto de bolsillo";"Gasto con recursos externos"
"15";2008;"DOM";"Up-Mid";4,7250762;44,88470078;2,12083626;21,06161499;53,39921188;43,60145569;45,9581871;26,87156296;19,08662605;NA;NA;NA;2,19595206496654;12,0091026919528;1,57;NA;4,72506762;240,41107178;44,88470078;2,12083244;11,59831429;53,39921188;NA;1,71608663;1,098;43,60145569;NA;NA;25,7;13,7;"Dominican Republic";NA;20;24;10;45;1
"16";2011;"DOM";"Up-Mid";5,66509867;48,10536194;2,72521615;23,5890274;51,42929459;42,44412994;48,98392868;25,3493042;23,63462067;NA;NA;NA;2,74366140986694;17,2048841710652;1,72;NA;5,66508865;335,00128174;48,10536194;2,72521138;17,08921814;51,42929459;1,3629;0,46534389;1,5268;42,44412994;NA;NA;21,8;11,9;"Dominican Republic";NA;20;24;10;45;1
"17";2018;"DOM";"Up-Mid";5,73288918;44,30619812;2,54002523;18,32662201;54,7450676;44,74538422;44,32275391;19,90220261;24,4205513;41,46245575;33,25862503;35,53970337;2,57339680649079;15,7720296655825;NA;NA;5,73298407;461,54251099;44,30707932;2,54011798;15,40141296;54,74419403;1,3802;0,94872576;1,41;44,74467468;NA;NA;14;6;"Dominican Republic";NA;20;24;10;45;1
"18";2019;"DOM";"Up-Mid";5,929142;44,89685822;2,66199851;18,32662201;54,26577377;42,94845581;45,1271019;19,87074852;25,25635338;41,20750427;33,25862503;36,23630905;2,69136844188732;16,4958490712233;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,4518;NA;NA;NA;14,6;6,1;"Dominican Republic";NA;20;24;10;45;1
"19";2000;"GRD";"Up-Mid";5,35886383;34,71628189;1,86039829;0;63,76615906;59,30252838;36,04539108;36,01763535;0,02775368;NA;NA;NA;1,9316233005698;7,40983364480874;6,2;0,443;5,35886383;270,98391724;34,71628189;1,86039829;7,13660955;63,76615906;3,5603;1,51755834;0,5642;59,30252838;NA;NA;NA;NA;"Grenada";NA;38;0;4;54;3
"20";2001;"GRD";"Up-Mid";5,62456989;38,21508408;2,14943409;0;60,34007645;56,11627197;39,48050308;39,44359589;0,03690853;NA;NA;NA;2,22060856939502;7,41081957244656;NA;0,442;5,62456989;283,47583008;38,21508408;2,14943409;7,17329025;60,34007645;3,5465;1,44483936;0,562;56,11627197;NA;NA;NA;NA;"Grenada";NA;38;0;4;54;3
"21";2002;"GRD";"Up-Mid";6,1756978;43,90823364;2,71163964;0;54,82457352;50,98685074;45,01806641;44,98652649;0,0315395;NA;NA;NA;2,78017962714188;7,65336240754717;6,9;0,441;6,1756978;322,0144043;43,90823364;2,71163964;7,46468306;54,82457352;3,5328;1,2671963;0,5598;50,98685074;NA;NA;NA;NA;"Grenada";NA;38;0;4;54;3
"22";2003;"GRD";"Up-Mid";5,28485727;40,89669418;2,16133189;0;57,74961853;53,70714188;42,08228302;42,03340912;0,04887113;NA;NA;NA;2,22398857518797;7,53606319745223;5,6999998093;0,44;5,28485727;300,36419678;40,89669418;2,16133189;7,32374859;57,74961853;3,5192;1,35368943;0,5577;53,70714188;NA;NA;NA;NA;"Grenada";NA;38;0;4;54;3
"23";2006;"GRD";"Up-Mid";5,11352158;39,97494125;2,04412723;0;56,79022217;52,81490707;42,79550171;42,6230545;0,17244531;NA;NA;NA;2,18835716224814;6,6783844789644;NA;NA;5,11352158;340,39715576;39,97494125;2,04412723;6,23822641;56,79022217;3,7941;3,23484063;0,6578;52,81490707;NA;NA;NA;NA;"Grenada";NA;38;0;4;54;3
"24";2017;"GRD";"Up-Mid";4,65701056;40,54024887;1,88796353;0;59,2580986;55,11003113;40,73248672;40,61870193;0,11378572;NA;NA;NA;1,89691625534715;8,39116229985444;3,57;NA;4,59776449;466,74960327;41,06264114;1,88796353;8,35155964;58,73310471;3,0568;0,20425494;1,4067;54,62178421;NA;NA;NA;NA;"Grenada";NA;38;0;4;54;3
"25";2018;"GRD";"Up-Mid";4,57647324;40,6926384;1,86228776;0;59,0436058;54,91055298;40,86486435;40,74594116;0,11892562;NA;NA;NA;1,87016966719493;8,36934085106383;NA;NA;4,46386862;474,5328064;38,19665527;1,70504856;7,73680878;58,58798218;6,2837;3,21536183;1,4363;54,48682404;NA;NA;NA;NA;"Grenada";NA;38;0;4;54;3
"26";2000;"CUB";"Up-Mid";6,58189821;83,69687653;5,50884342;NA;16,22938156;16,22938156;83,69687653;83,69687653;0;NA;NA;NA;5,50884333265719;10,8023146900702;NA;NA;6,58189821;180,81121826;83,69687653;5,50884342;10,80231476;16,22938156;NA;0,07373916;5,9316;16,22938156;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"27";2001;"CUB";"Up-Mid";6,98209763;81,21707916;5,6706562;NA;18,70623779;18,70623779;81,21707916;81,21707916;0;NA;NA;NA;5,67065626341439;11,3917950668949;NA;NA;6,98209763;198,13365173;81,21707916;5,6706562;11,39179516;18,70623779;NA;0,07667929;5,9406;18,70623779;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"28";2002;"CUB";"Up-Mid";7,11481667;80,50538635;5,72780991;NA;19,3773613;19,3773613;80,50538635;80,50538635;0;NA;NA;NA;5,72780994626457;11,1904706511877;NA;NA;7,11481667;213,39079285;80,50538635;5,72780991;11,1904707;19,3773613;7,4895;0,11725662;5,9894;19,3773613;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"29";2003;"CUB";"Up-Mid";7,10295439;79,5318985;5,64911461;NA;20,32512474;20,32512474;79,5318985;79,5318985;0;NA;NA;NA;5,6491147928203;10,8908232691265;4,9000000954;NA;7,10295439;227,09095764;79,5318985;5,64911461;10,89082336;20,32512474;NA;0,14297515;6,0572;20,32512474;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"30";2004;"CUB";"Up-Mid";6,83178759;80,04375458;5,4684186;NA;19,59809303;19,59809303;80,04375458;80,04375458;0;NA;NA;NA;5,46841871057247;10,3209264181331;NA;NA;6,83178759;231,98782349;80,04375458;5,4684186;10,32092667;19,59809303;NA;0,35815632;6,1965;19,59809303;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"31";2005;"CUB";"Up-Mid";8,75525475;84,86508179;7,43015385;NA;14,84367561;14,84367561;84,87304688;84,87304688;0;NA;NA;NA;7,43085118461001;11,6687042465128;4,9;NA;8,75525475;331,53213501;84,86508179;7,43015385;11,66760921;14,84367561;NA;0,29124269;6,2686;14,84367561;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"32";2006;"CUB";"Up-Mid";8,2719059;85,5968399;7,08049011;NA;14,26366234;14,26366234;85,60489655;85,60489655;0;NA;NA;NA;7,08115610092752;11,2066973729615;4,9;NA;8,2719059;387,42019653;85,5968399;7,08049011;11,20564365;14,26366234;NA;0,13949481;6,3483;14,26366234;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"33";2007;"CUB";"Up-Mid";10,96749115;90,10673523;9,8824482;NA;9,78314972;9,78314972;90,11295319;90,11295319;0;NA;NA;NA;9,88313064488882;14,4824292494111;4,9;NA;10,96749115;571,26550293;90,10673523;9,8824482;14,48143005;9,78314972;8,6925;0,1101175;6,4363;9,78314972;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"34";2008;"CUB";"Up-Mid";11,31422806;90,9694519;10,29249096;NA;8,83751297;8,83751297;90,97696686;90,97696686;0;NA;NA;NA;10,2933413149624;13,1787842418883;6;NA;11,31422806;612,24359131;90,9694519;10,29249096;13,17769623;8,83751297;NA;0,19303414;6,6345;8,83751297;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"35";2009;"CUB";"Up-Mid";12,29053974;91,80177307;11,28293419;NA;8,0996418;8,0996418;91,80773163;91,80773163;0;NA;NA;NA;11,2836662371134;14,9332736420227;5,9;NA;12,29053974;679,62634277;91,80177307;11,28293419;14,93230438;8,0996418;NA;0,09858166;6,6698;8,0996418;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"36";2010;"CUB";"Up-Mid";10,6880827;90,77864838;9,70249653;NA;9,18197155;9,18197155;90,79141235;90,79141235;0;NA;NA;NA;9,70386146001741;13,8677715326683;5,9;NA;10,6880827;612,46508789;90,77864838;9,70249653;13,86582088;9,18197155;9,1765;0,03938273;6,8152;9,18197155;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"37";2011;"CUB";"Up-Mid";11,31298637;88,98712158;10,06710052;NA;10,81637955;10,81637955;89,01924133;89,01924133;0;NA;NA;NA;10,0707348891144;15,0989894599587;5,09;NA;11,31298637;699,83428955;88,98712158;10,06710052;15,09354115;10,8163805;NA;0,19650029;6,9969;10,8163805;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"38";2012;"CUB";"Up-Mid";9,29940987;86,70360565;8,06292343;NA;13,13097286;13,13097286;86,70797729;86,70797729;0;NA;NA;NA;8,0633297329815;11,4951759087808;5,17;NA;9,29940987;604,21234131;86,70360565;8,06292343;11,49459648;13,13097286;8,1843;0,16542237;7,2901;13,13097286;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"39";2013;"CUB";"Up-Mid";10,43099499;87,60780334;9,1383667;NA;12,27119064;12,27119064;87,60852051;87,60852051;0;NA;NA;NA;9,13844052572977;14,1406905686062;5,075;NA;10,43099499;713,24133301;87,60780334;9,1383667;14,14057636;12,27119064;7,8318;0,12100082;7,4183;12,27119064;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"40";2014;"CUB";"Up-Mid";12,1412344;90,25088501;10,95757103;NA;9,63887691;9,63887691;90,25186157;90,25186157;0;NA;NA;NA;10,957690043047;18,0246660027329;5,18;NA;12,1412344;866,07562256;90,25088501;10,95757103;18,02447128;9,63887691;8,0274;0,1102391;7,5673;9,63887691;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"41";2015;"CUB";"Up-Mid";12,81401348;90,33050537;11,57496357;NA;9,62183094;9,62183094;90,33144379;90,33144379;0;NA;NA;NA;11,5750828732398;18,2457748429546;5,24;NA;12,81401348;986,73400879;90,33050537;11,57496357;18,2455864;9,62183094;NA;0,04766417;7,769;9,62183094;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"42";2016;"CUB";"Up-Mid";12,2177515;89,60745239;10,94801617;NA;10,28543472;10,28543472;89,6240387;89,6240387;0;NA;NA;NA;10,9500413592317;17,306025254424;5,32;NA;12,2177515;984,84844971;89,60745239;10,94801617;17,30282402;10,28543472;7,8581;0,10711079;7,9541;10,28543472;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"43";2017;"CUB";"Up-Mid";11,7113266;89,44213104;10,47486115;NA;10,48266411;10,48266411;89,44573212;89,44573212;0;NA;NA;NA;10,4752824191077;15,8756038596401;5,33;NA;11,7113266;1000,28955078;89,44213104;10,47486115;15,87496376;10,48266411;7,7286;0,07520192;8,295;10,48266411;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"44";2018;"CUB";"Up-Mid";11,18745422;88,90524292;9,94623375;NA;11,00801563;11,00801563;88,93624115;88,93624115;0;NA;NA;NA;9,94970110353619;15,1944686927354;NA;NA;11,18745422;986,93731689;88,90524292;9,94623375;15,1891737;11,00801563;7,5614;0,08674135;8,42085;11,00801563;NA;NA;NA;NA;"Cuba";NA;89;0;0;11;0
"45";2003;"JAM";"Up-Mid";4,22014093;48,49776459;2,04667401;63,98686218;50,78744888;34,57055664;48,68732834;47,94796371;0,73936784;NA;NA;NA;2,05467411066831;6,16158942585708;1,3999999762;NA;4,22014093;146,88262939;48,49776459;2,04667401;6,13759899;50,78744888;1,6144;0,71478754;0,8315;34,57055664;10,371819883585;2,59295497089624;NA;NA;"Jamaica";NA;58;7;17;17;1
"46";2008;"JAM";"Up-Mid";5,61143064;52,59539413;2,95135403;50,68297958;45,79704285;30,17660332;53,53200912;48,8637619;4,66824913;NA;NA;NA;3,00391169830086;8,50646935241178;NA;0,268;5,61143064;276,53768921;52,59539413;2,95135403;8,35763645;45,79704285;1,0532;1,60756385;0,3965;30,17660332;NA;NA;15,4;9,5;"Jamaica";NA;58;7;17;17;1
"47";2012;"JAM";"Up-Mid";4,88511038;56,95797729;2,78245997;49,87201309;39,79473495;21,75101471;59,25022507;51,86096573;7,38925838;NA;NA;NA;2,89443875415598;9,5263432336762;1,685;0,233;4,88512135;254,50778198;56,95797729;2,78246617;9,15779209;39,79473495;1,5119;3,24729013;0,354;21,75101471;NA;NA;11,9;10,5;"Jamaica";NA;58;7;17;17;1
"48";2013;"JAM";"Up-Mid";4,95442057;59,99071121;2,97219205;40,3678894;38,99633408;19,47788811;60,57138443;53,19687653;7,37450886;NA;NA;NA;3,00096117589554;10,8735319120944;1,68;0,251;4,95499468;247,21296692;59,99071121;2,97253656;10,76929092;38,99633408;1,4349;1,01295555;0,4677;19,47788811;NA;NA;10,5;10,7;"Jamaica";NA;58;7;17;17;1
"49";2014;"JAM";"Up-Mid";5,16565466;59,26104355;3,06122088;39,83073425;39,32258987;21,41138077;60,23169327;53,08130264;7,15038919;NA;NA;NA;3,11136137233284;11,4362598959215;NA;0,255;5,16615725;249,72155762;59,26104355;3,06151867;11,25196075;39,32258987;1,4271;1,41637087;0,3798;21,41138077;NA;NA;12,1;10,5;"Jamaica";NA;58;7;17;17;1
"50";2015;"JAM";"Up-Mid";5,62469387;63,27166748;3,55883765;41,69181824;35,32678604;18,97229195;64,37812805;57,59576416;6,78235674;NA;NA;NA;3,62107243565024;13,0444120072929;1,69;0,307;5,62562609;276,05673218;63,27166748;3,55942726;12,82021999;35,32678604;1,4507;1,40154922;0,4147;18,97229195;NA;NA;10,8;10,5;"Jamaica";NA;58;7;17;17;1
"51";2016;"JAM";"Up-Mid";5,70086861;63,59623718;3,62553787;42,65196228;34,82899475;17,93026733;64,8421936;57,83930969;7,00288773;NA;NA;NA;3,69656821769696;12,9323633770135;1,78;0,319;5,70750713;276,45974731;63,52197647;3,62552142;12,68386555;34,90509796;1,6066;1,57292688;0,4549;18,02610016;NA;NA;10,2;10,7;"Jamaica";NA;58;7;17;17;1
"52";2011;"HTI";"Low";5,91197777;7,13250399;0,42167205;0;28,18361473;26,08627701;15,89955711;14,77611923;1,12343836;NA;NA;NA;0,939978273729117;6,65251323629096;NA;NA;10,2313633;75,70629883;7,13250399;0,72975236;2,98430157;28,18361473;1,1863;64,68387604;0,1378;26,08627701;NA;NA;NA;NA;"Haiti";NA;10;2;5;44;39
"53";2013;"HTI";"Low";4,21974993;11,5827713;0,48876396;0;40,0238266;36,24164581;13,66417599;12,01928711;1,64488924;NA;NA;NA;0,576594067115672;3,53732242514841;0,705;NA;7,23788214;58,3646965;11,5827713;0,83834732;2,99849725;40,0238266;NA;48,39340591;0,23;36,24164581;11,5430973470211;3,98440547287464;68,1;71,6;"Haiti";NA;10;2;5;44;39
"54";2015;"HTI";"Low";5,06690121;11,05177689;0,55998266;0;38,06922913;33,9648819;13,63959503;12,07604218;1,56355262;NA;NA;NA;0,691104829666552;5,43032336193432;NA;NA;8,62852955;67,40187836;11,05177689;0,95360589;4,40003729;38,06922913;0,2822;50,87899399;0,0852;33,9648819;NA;NA;65,9;72,6;"Haiti";NA;10;2;5;44;39
"55";2018;"HTI";"Low";4,57474232;12,19022751;0,55767161;0;49,69759369;44,34651566;13,48015213;11,72348213;1,75666976;60,97504044;76,14626312;15,22328377;0,616682303220031;5,36875753330555;NA;NA;7,69460344;64,24588013;11,98007584;0,92181933;4,78745461;48,84083176;0,6798;39,17908859;0,2343;43,58200836;NA;NA;74,7;74,1;"Haiti";NA;10;2;5;44;39
"56";2001;"KNA";"Hi";4,39693737;43,65345001;1,91941488;0;56,34654617;51,06950378;43,65345001;43,47563553;0,17781724;NA;NA;NA;1,91941483831851;6,16705494805195;4,3;1,039;4,42555857;451,68023682;43,65345001;1,93190897;6,16705513;56,34654617;6,5919;0;1,0987;51,06950378;NA;NA;NA;NA;"Saint Kitts and Nevis";NA;46;0;5;49;0
"57";2015;"KNA";"Hi";5,31301308;37,83431625;2,01014233;0;62,16568375;57,08949661;37,83431625;37,78588104;0,04843439;NA;NA;NA;2,01014222342559;6,56786967627785;NA;NA;5,31862164;884,84606934;40,96586609;2,17881918;6,56786919;59,03413391;4,2188;0;2,6758;53,53779221;NA;NA;NA;NA;"Saint Kitts and Nevis";NA;46;0;5;49;0
"58";2018;"KNA";"Hi";5,21287775;45,95744324;2,39570522;0;54,04255295;49,38157272;45,95744324;45,87427902;0,0831635;61,42960739;51,86882019;38,8047142;2,39570535654086;6,28642299807692;NA;NA;5,31148005;992,59179688;46,51912308;2,47085404;7,38743448;53,48087692;NA;0;2,7672;48,54007339;NA;NA;NA;NA;"Saint Kitts and Nevis";NA;46;0;5;49;0
"59";2002;"LCA";"Up-Mid";5,38443518;33,95426559;1,82824528;0;65,81324005;56,90605164;34,18675995;31,88363838;2,3031199;NA;NA;NA;1,84076387407407;7,82002834615384;3,2000000477;NA;6,01848078;304,02978516;33,95426559;2,04353094;7,76684666;65,81324005;NA;0,23249525;0,4391;56,90605164;NA;NA;NA;NA;"Saint Lucia";NA;45;2;6;46;0
"60";2003;"LCA";"Up-Mid";5,23676491;31,34616089;1,64152479;0;68,14170837;59,63883209;31,75989723;29,59395409;2,16594386;NA;NA;NA;1,66319127006752;7,25706698199673;2,9;NA;5,85375929;322,10931396;31,34616089;1,83492863;7,16252851;68,14170837;3,0841;0,51213729;0,4673;59,63883209;NA;NA;NA;NA;"Saint Lucia";NA;45;2;6;46;0
"61";2004;"LCA";"Up-Mid";4,76429749;32,91966629;1,56839085;0;66,54402924;57,44704056;33,05957031;30,86317444;2,1963954;NA;NA;NA;1,57505631666667;6,89386351367781;NA;NA;5,3244772;314,05532837;32,91966629;1,75279999;6,86468935;66,54402924;2,3177;0,53630054;0,4203;57,44704056;NA;NA;NA;NA;"Saint Lucia";NA;45;2;6;46;0
